team_code,team_name,player_id,player_name,role,batting_style,bowling_style,country_id,date_of_birth,availability,injury,replacement
MI,Mumbai Indians,284,Jasprit Bumrah,Bowler,right-hand-bat,right-arm-fast,153732,1993-12-06,AVAILABLE,,
MI,Mumbai Indians,281,Hardik Pandya,Allrounder,right-hand-bat,right-arm-fast-medium,153732,1993-10-11,AVAILABLE,,
MI,Mumbai Indians,2879,Suryakumar Yadav,Batsman,right-hand-bat,right-arm-fast-medium,153732,1990-09-14,AVAILABLE,,
MI,Mumbai Indians,278,Rohit Sharma,Batsman,right-hand-bat,right-arm-offbreak,153732,1987-04-30,AVAILABLE,,
MI,Mumbai Indians,221,Trent Boult,Bowler,right-hand-bat,left-arm-fast-medium,2817,1989-07-22,AVAILABLE,,
MI,Mumbai Indians,279,Deepak Chahar,Bowler,right-hand-bat,right-arm-fast-medium,153732,1992-08-07,AVAILABLE,,
MI,Mumbai Indians,8370,Tilak Varma,Batsman,left-hand-bat,right-arm-offbreak,153732,2002-11-08,AVAILABLE,,
MI,Mumbai Indians,53075,Naman Dhir,Allrounder,right-hand-bat,right-arm-offbreak,153732,1999-12-31,AVAILABLE,,
MI,Mumbai Indians,3806,Will Jacks,Batsman,right-hand-bat,right-arm-offbreak,462,1998-11-21,AVAILABLE,,
MI,Mumbai Indians,40997,AM Ghazanfar,Bowler,right-hand-bat,right-arm-offbreak,43444,2006-03-20,AVAILABLE,,
MI,Mumbai Indians,128,Sherfane Rutherford,Middle Order Batter,left-hand-bat,right-arm-fast-medium,24150873,1998-08-15,AVAILABLE,,
MI,Mumbai Indians,227,Mitchell Santner,Allrounder,left-hand-bat,slow-left-arm-orthodox,2817,1992-02-05,AVAILABLE,,
MI,Mumbai Indians,60,Shardul Thakur,Bowler,right-hand-bat,right-arm-fast-medium,153732,1991-10-16,AVAILABLE,,
MI,Mumbai Indians,662,Ryan Rickelton,Wicketkeeper,left-hand-bat,,146,1996-07-11,AVAILABLE,,
MI,Mumbai Indians,77,Quinton de Kock,Wicketkeeper,left-hand-bat,,146,1992-12-17,AVAILABLE,,
MI,Mumbai Indians,4337,Corbin Bosch,Allrounder,right-hand-bat,right-arm-fast-medium,146,1994-09-10,AVAILABLE,,
MI,Mumbai Indians,39047,Robin Minz,Wicketkeeper,left-hand-bat,,153732,2002-09-13,AVAILABLE,,
MI,Mumbai Indians,60728,Mohammed Salahuddin Izhar,Bowler,right-hand-bat,left-arm-fast-medium,153732,2004-01-01,AVAILABLE,,
MI,Mumbai Indians,60480,Danish Malewar,Batsman,right-hand-bat,legbreak,153732,2003-10-08,AVAILABLE,,
MI,Mumbai Indians,35051,Raj Angad Bawa,Allrounder,left-hand-bat,right-arm-fast-medium,153732,2002-11-12,AVAILABLE,,
MI,Mumbai Indians,58342,Ashwani Kumar,Bowler,left-hand-bat,left-arm-fast-medium,153732,2001-08-29,AVAILABLE,,
MI,Mumbai Indians,8388,[REMOVED] Atharva Ankolekar,Batsman,left-hand-bat,slow-left-arm-orthodox,153732,2000-09-26,OUT - Knee meniscus tear,Knee meniscus tear,Not yet named
MI,Mumbai Indians,22935,Raghu Sharma,Allrounder,,,153732,1993-03-11,AVAILABLE,,
MI,Mumbai Indians,3347,Mayank Markande,Bowler,right-hand-bat,legbreak,153732,1997-11-11,AVAILABLE,,
MI,Mumbai Indians,59490,Mayank Rawat,Allrounder,right-hand-bat,right-arm-offbreak,153732,1999-12-04,AVAILABLE,,
CSK,Chennai Super Kings,4856,Ruturaj Gaikwad,Batsman,right-hand-bat,right-arm-offbreak,153732,1997-01-31,AVAILABLE,,
CSK,Chennai Super Kings,2900,Sanju Samson,Wicketkeeper,right-hand-bat,,153732,1994-11-11,AVAILABLE,,
CSK,Chennai Super Kings,60723,Kartik Sharma,Wicketkeeper,right-hand-bat,,153732,2006-04-26,AVAILABLE,,
CSK,Chennai Super Kings,60167,Prashant Veer,Allrounder,right-hand-bat,slow-left-arm-orthodox,153732,2005-11-24,AVAILABLE,,
CSK,Chennai Super Kings,4940,Shivam Dube,Allrounder,left-hand-bat,right-arm-fast-medium,153732,1993-06-26,AVAILABLE,,
CSK,Chennai Super Kings,8490,Noor Ahmad,Bowler,left-hand-bat,slow-left-arm-orthodox,43444,2005-01-03,AVAILABLE,,
CSK,Chennai Super Kings,3296,Rahul Chahar,Bowler,right-hand-bat,legbreak-googly,153732,1999-08-04,AVAILABLE,,
CSK,Chennai Super Kings,322,Khaleel Ahmed,Bowler,right-hand-bat,left-arm-fast-medium,153732,1997-12-05,AVAILABLE,,
CSK,Chennai Super Kings,274,Mahendra Singh Dhoni,Wicketkeeper,right-hand-bat,right-arm-fast-medium,153732,1981-07-07,AVAILABLE,,
CSK,Chennai Super Kings,53078,Anshul Kamboj,Allrounder,right-hand-bat,right-arm-fast-medium,153732,2000-12-06,AVAILABLE,,
CSK,Chennai Super Kings,31028,Gurjapneet Singh,Bowler,,,153732,2000-01-01,AVAILABLE,,
CSK,Chennai Super Kings,35309,Dewald Brevis,Batsman,right-hand-bat,legbreak,146,2003-04-29,AVAILABLE,,
CSK,Chennai Super Kings,9906,[REMOVED] Nathan Ellis,Bowler,right-hand-bat,right-arm-fast-medium,98,1994-09-22,OUT - Hamstring,Hamstring,Exploring options (Baartman/Abbott/Coetzee)
CSK,Chennai Super Kings,7083,Akeal Hosein,Bowler,left-hand-bat,slow-left-arm-orthodox,24150873,1993-04-25,AVAILABLE,,
CSK,Chennai Super Kings,214,Matt Henry,Bowler,right-hand-bat,right-arm-fast-medium,2817,1991-12-14,AVAILABLE,,
CSK,Chennai Super Kings,397,Matthew Short,Allrounder,right-hand-bat,right-arm-offbreak,98,1995-11-08,DOUBTFUL,Fractured thumb,Doubtful for early matches
CSK,Chennai Super Kings,3491,Jamie Overton,Bowler,right-hand-bat,right-arm-fast,462,1994-04-10,AVAILABLE,,
CSK,Chennai Super Kings,36716,Zak Foulkes,Allrounder,right-hand-bat,right-arm-fast-medium,2817,2002-06-05,AVAILABLE,,
CSK,Chennai Super Kings,2774,Sarfaraz Khan,Batsman,right-hand-bat,legbreak,153732,1997-10-27,AVAILABLE,,
CSK,Chennai Super Kings,36473,Aman Hakim Khan,Bowler,right-hand-bat,right-arm-offbreak,153732,1996-11-23,AVAILABLE,,
CSK,Chennai Super Kings,57345,Ayush Mhatre,Allrounder,right-hand-bat,right-arm-offbreak,153732,2007-07-16,AVAILABLE,,
CSK,Chennai Super Kings,57613,Ramakrishna Ghosh,Bowler,right-hand-bat,right-arm-fast-medium,153732,1997-08-28,AVAILABLE,,
CSK,Chennai Super Kings,34463,Urvil Patel,Wicketkeeper,right-hand-bat,,153732,1998-10-17,AVAILABLE,,
CSK,Chennai Super Kings,34319,Mukesh Choudhary,Bowler,left-hand-bat,left-arm-fast-medium,153732,1996-07-06,AVAILABLE,,
CSK,Chennai Super Kings,2846,Shreyas Gopal,Allrounder,right-hand-bat,legbreak,153732,1993-09-04,AVAILABLE,,
KKR,Kolkata Knight Riders,630,Cameron Green,Allrounder,right-hand-bat,right-arm-fast-medium,98,1999-06-03,AVAILABLE,,
KKR,Kolkata Knight Riders,10395,Matheesha Pathirana,Bowler,right-hand-bat,right-arm-fast-medium,38404,2002-12-18,MISSING START,Calf strain,N/A (will join mid-season)
KKR,Kolkata Knight Riders,3215,Rinku Singh,Batsman,left-hand-bat,right-arm-offbreak,153732,1997-10-12,AVAILABLE,,
KKR,Kolkata Knight Riders,4877,Varun Chakaravarthy,Bowler,right-hand-bat,legbreak-googly,153732,1991-08-29,AVAILABLE,,
KKR,Kolkata Knight Riders,758,Sunil Narine,Bowler,left-hand-bat,right-arm-offbreak,24150873,1988-05-26,AVAILABLE,,
KKR,Kolkata Knight Riders,237,[REMOVED] Mustafizur Rahman,Bowler,left-hand-bat,left-arm-fast-medium,155043,1995-09-06,OUT - Released per BCCI directive,Released per BCCI directive,Blessing Muzarabani
KKR,Kolkata Knight Riders,49634,[REMOVED] Harshit Rana,Bowler,right-hand-bat,right-arm-fast-medium,153732,2001-12-22,OUT - Knee ligament strain,Knee ligament strain,Not seeking replacement
KKR,Kolkata Knight Riders,24822,Ramandeep Singh,Batsman,right-hand-bat,right-arm-fast-medium,153732,1997-04-13,AVAILABLE,,
KKR,Kolkata Knight Riders,59804,Tejasvi Dahiya,Wicketkeeper,right-hand-bat,,153732,2002-04-18,AVAILABLE,,
KKR,Kolkata Knight Riders,35066,Angkrish Raghuvanshi,Batsman,right-hand-bat,slow-left-arm-orthodox,153732,2005-06-05,AVAILABLE,,
KKR,Kolkata Knight Riders,5594,Rachin Ravindra,Batting Allrounder,left-hand-bat,slow-left-arm-orthodox,2817,1999-11-18,AVAILABLE,,
KKR,Kolkata Knight Riders,10623,Finn Allen,Batsman,right-hand-bat,,2817,1999-04-22,AVAILABLE,,
KKR,Kolkata Knight Riders,24882,Vaibhav Arora,Bowler,right-hand-bat,right-arm-fast-medium,153732,1997-12-14,AVAILABLE,,
KKR,Kolkata Knight Riders,118,Rovman Powell,Batsman,right-hand-bat,right-arm-fast-medium,24150873,1993-07-23,AVAILABLE,,
KKR,Kolkata Knight Riders,208,Tim Seifert,Wicketkeeper,right-hand-bat,,2817,1994-12-14,AVAILABLE,,
KKR,Kolkata Knight Riders,51,Ajinkya Rahane,Batsman,right-hand-bat,right-arm-fast-medium,153732,1988-06-06,AVAILABLE,,
KKR,Kolkata Knight Riders,23685,Akash Deep,Allrounder,right-hand-bat,right-arm-fast-medium,153732,1996-12-15,AVAILABLE,,
KKR,Kolkata Knight Riders,33572,Umran Malik,Bowler,right-hand-bat,right-arm-fast-medium,153732,1999-11-22,AVAILABLE,,
KKR,Kolkata Knight Riders,3305,Rahul Tripathi,Batsman,right-hand-bat,right-arm-fast-medium,153732,1991-03-02,AVAILABLE,,
KKR,Kolkata Knight Riders,276,Manish Pandey,Batsman,right-hand-bat,right-arm-fast-medium,153732,1989-09-10,AVAILABLE,,
KKR,Kolkata Knight Riders,3350,Anukul Roy,Allrounder,left-hand-bat,slow-left-arm-orthodox,153732,1998-11-30,AVAILABLE,,
KKR,Kolkata Knight Riders,60725,Daksh Kamra,Allrounder,right-hand-bat,legbreak-googly,153732,2003-01-09,AVAILABLE,,
KKR,Kolkata Knight Riders,6775,Prashant Solanki,Bowler,right-hand-bat,legbreak,153732,2000-02-22,AVAILABLE,,
KKR,Kolkata Knight Riders,9462,Kartik Tyagi,Bowler,right-hand-bat,right-arm-fast-medium,153732,2000-11-08,AVAILABLE,,
KKR,Kolkata Knight Riders,59505,Sarthak Ranjan,Batsman,right-hand-bat,right-arm-offbreak,153732,1996-09-25,AVAILABLE,,
RR,Rajasthan Royals,6820,Yashasvi Jaiswal,Batsman,left-hand-bat,legbreak,153732,2001-12-28,AVAILABLE,,
RR,Rajasthan Royals,8391,Dhruv Jurel,Wicketkeeper,right-hand-bat,,153732,2001-01-21,AVAILABLE,,
RR,Rajasthan Royals,4922,Riyan Parag,Batsman,right-hand-bat,legbreak,153732,2001-11-10,AVAILABLE,,
RR,Rajasthan Royals,55,Ravindra Jadeja,Allrounder,left-hand-bat,slow-left-arm-orthodox,153732,1988-12-06,AVAILABLE,,
RR,Rajasthan Royals,424,Jofra Archer,Bowler,right-hand-bat,right-arm-fast,462,1995-04-01,AVAILABLE,,
RR,Rajasthan Royals,108,Shimron Hetmyer,Batsman,left-hand-bat,,24150873,1996-12-26,AVAILABLE,,
RR,Rajasthan Royals,9459,Ravi Bishnoi,Bowler,right-hand-bat,legbreak-googly,153732,2000-09-05,AVAILABLE,,
RR,Rajasthan Royals,6697,Tushar Deshpande,Bowler,left-hand-bat,right-arm-fast-medium,153732,1995-05-15,AVAILABLE,,
RR,Rajasthan Royals,2966,Sandeep Sharma,Bowler,right-hand-bat,right-arm-fast-medium,153732,1993-05-18,AVAILABLE,,
RR,Rajasthan Royals,4346,Nandre Burger,Bowler,left-hand-bat,left-arm-fast-medium,146,1995-08-11,AVAILABLE,,
RR,Rajasthan Royals,134,[REMOVED] Sam Curran,Allrounder,left-hand-bat,left-arm-fast-medium,462,1998-06-03,OUT - Groin injury,Groin injury,Exploring options (Shanaka/Atkinson)
RR,Rajasthan Royals,215,Adam Milne,Bowler,right-hand-bat,right-arm-fast,2817,1992-04-13,AVAILABLE,,
RR,Rajasthan Royals,35321,Kwena Maphaka,Bowler,left-hand-bat,left-arm-fast-medium,146,2006-04-08,AVAILABLE,,
RR,Rajasthan Royals,57622,Vaibhav Suryavanshi,Batsman,left-hand-bat,slow-left-arm-orthodox,153732,2011-03-27,AVAILABLE,,
RR,Rajasthan Royals,6472,Donovan Ferreira,Wicketkeeper,right-hand-bat,right-arm-offbreak,146,1998-07-21,AVAILABLE,,
RR,Rajasthan Royals,60289,Ravi Singh,Wicketkeeper,left-hand-bat,legbreak,153732,2001-05-25,AVAILABLE,,
RR,Rajasthan Royals,8397,Sushant Mishra,Bowler,left-hand-bat,left-arm-fast-medium,153732,2000-12-23,AVAILABLE,,
RR,Rajasthan Royals,34355,Shubham Dubey,Batsman,left-hand-bat,right-arm-offbreak,153732,1994-08-27,AVAILABLE,,
RR,Rajasthan Royals,36497,Kuldeep Sen,Bowler,right-hand-bat,right-arm-fast-medium,153732,1996-10-22,AVAILABLE,,
RR,Rajasthan Royals,26024,Yudhvir Singh Charak,Bowler,right-hand-bat,right-arm-fast-medium,153732,1997-09-13,AVAILABLE,,
RR,Rajasthan Royals,60085,Yash Raj Punja,Allrounder,left-hand-bat,,153732,2006-01-01,AVAILABLE,,
RR,Rajasthan Royals,60729,Brijesh Sharma,Bowler,right-hand-bat,right-arm-fast-medium,153732,1998-12-16,AVAILABLE,,
RR,Rajasthan Royals,48821,Vignesh Puthur,Allrounder,,,153732,2000-01-01,AVAILABLE,,
RR,Rajasthan Royals,60730,Aman Rao Perala,Batsman,right-hand-bat,,153732,2004-06-02,AVAILABLE,,
RR,Rajasthan Royals,53165,Lhuan-dre Pretorius,Wicketkeeper,left-hand-bat,,146,2006-03-27,AVAILABLE,,
RCB,Royal Challengers Bengaluru,46,Virat Kohli,Batsman,right-hand-bat,right-arm-fast-medium,153732,1988-11-05,AVAILABLE,,
RCB,Royal Challengers Bengaluru,191,Josh Hazlewood,Bowler,left-hand-bat,right-arm-fast-medium,98,1991-01-08,MISSING START,Hamstring + Achilles,N/A (will join late)
RCB,Royal Challengers Bengaluru,3431,Philip Salt,Wicketkeeper,right-hand-bat,right-arm-offbreak,462,1996-08-28,AVAILABLE,,
RCB,Royal Challengers Bengaluru,26027,Rajat Patidar,Batsman,right-hand-bat,right-arm-offbreak,153732,1993-06-01,AVAILABLE,,
RCB,Royal Challengers Bengaluru,3092,Jitesh Sharma,Wicketkeeper,right-hand-bat,,153732,1993-10-22,AVAILABLE,,
RCB,Royal Challengers Bengaluru,280,Bhuvneshwar Kumar,Bowler,right-hand-bat,right-arm-fast-medium,153732,1990-02-05,AVAILABLE,,
RCB,Royal Challengers Bengaluru,26042,Venkatesh Iyer,Allrounder,left-hand-bat,right-arm-fast-medium,153732,1994-12-25,AVAILABLE,,
RCB,Royal Challengers Bengaluru,4898,Rasikh Salam Dar,Bowler,right-hand-bat,right-arm-fast-medium,153732,2000-04-05,AVAILABLE,,
RCB,Royal Challengers Bengaluru,2687,Krunal Pandya,Allrounder,left-hand-bat,slow-left-arm-orthodox,153732,1991-03-24,AVAILABLE,,
RCB,Royal Challengers Bengaluru,60731,Mangesh Yadav,Allrounder,left-hand-bat,left-arm-fast,153732,2002-10-10,AVAILABLE,,
RCB,Royal Challengers Bengaluru,36524,Yash Dayal,Bowler,left-hand-bat,left-arm-fast-medium,153732,1997-12-13,AVAILABLE,,
RCB,Royal Challengers Bengaluru,617,Tim David,Batsman,right-hand-bat,right-arm-offbreak,98,1996-03-16,AVAILABLE,,
RCB,Royal Challengers Bengaluru,44513,Suyash Sharma,Bowler,right-hand-bat,legbreak,153732,2003-05-15,AVAILABLE,,
RCB,Royal Challengers Bengaluru,26819,Jacob Bethell,Allrounder,left-hand-bat,slow-left-arm-orthodox,462,2003-10-23,AVAILABLE,,
RCB,Royal Challengers Bengaluru,4931,Devdutt Padikkal,Batsman,left-hand-bat,right-arm-offbreak,153732,2000-07-07,AVAILABLE,,
RCB,Royal Challengers Bengaluru,4799,Jacob Duffy,Bowler,right-hand-bat,right-arm-fast-medium,2817,1994-08-02,AVAILABLE,,
RCB,Royal Challengers Bengaluru,21924,Nuwan Thushara,Bowler,right-hand-bat,right-arm-fast-medium,38404,1994-08-06,AVAILABLE,,
RCB,Royal Challengers Bengaluru,5222,Romario Shepherd,Bowling Allrounder,right-hand-bat,right-arm-fast-medium,24150873,1994-11-26,AVAILABLE,,
RCB,Royal Challengers Bengaluru,5132,Jordan Cox,Wicketkeeper,right-hand-bat,,462,2000-10-21,AVAILABLE,,
RCB,Royal Challengers Bengaluru,3098,Swapnil Singh,Allrounder,right-hand-bat,slow-left-arm-orthodox,153732,1991-01-22,AVAILABLE,,
RCB,Royal Challengers Bengaluru,60732,Satvik Deswal,Bowler,right-hand-bat,slow-left-arm-orthodox,153732,2007-03-23,AVAILABLE,,
